"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","Тест успешной авторизации курьера","tests","Tue May 13 22:00:02 MSK 2025","failed","Tue May 13 22:00:03 MSK 2025","TestLoginCourier","test_login_courier","",""
"","241","Тест авторизации существующего курьера с неправильным паролем","tests","Tue May 13 22:01:05 MSK 2025","failed","Tue May 13 22:01:06 MSK 2025","TestLoginCourier","test_login_courier","",""
"","2296","Тест получения списка заказов","tests","Tue May 13 22:00:00 MSK 2025","passed","Tue May 13 22:00:02 MSK 2025","TestGetListOrders","test_get_list_order","",""
"","0","Тест создания заказа с одним, двумя и без цветов","tests","Tue May 13 21:59:59 MSK 2025","passed","Tue May 13 21:59:59 MSK 2025","TestCreateOrder","test_create_order","",""
"","233","Тест создания двух одинаковых курьеров","tests","Tue May 13 21:59:56 MSK 2025","failed","Tue May 13 21:59:56 MSK 2025","TestCreateCourier","test_create_courier","",""
"","1","Тест создания рандомного курьера","tests","Tue May 13 21:59:55 MSK 2025","passed","Tue May 13 21:59:55 MSK 2025","TestCreateCourier","test_create_courier","",""
"","242","Тест авторизации курьера с несуществующим логином","tests","Tue May 13 22:01:09 MSK 2025","failed","Tue May 13 22:01:09 MSK 2025","TestLoginCourier","test_login_courier","",""
"","236","Тест создания курьера без пароля и логина","tests","Tue May 13 21:59:58 MSK 2025","failed","Tue May 13 21:59:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","60221","Тест авторизации курьера без пароля","tests","Tue May 13 22:00:04 MSK 2025","failed","Tue May 13 22:01:05 MSK 2025","TestLoginCourier","test_login_courier","",""
"","0","Тест создания заказа с одним, двумя и без цветов","tests","Tue May 13 21:59:58 MSK 2025","passed","Tue May 13 21:59:58 MSK 2025","TestCreateOrder","test_create_order","",""
"","0","Тест создания заказа с одним, двумя и без цветов","tests","Tue May 13 21:59:59 MSK 2025","passed","Tue May 13 21:59:59 MSK 2025","TestCreateOrder","test_create_order","",""
